accountName,firstName,lastName,DOB,maritalStatus,communicationPreferencePerson,communicationPreferenceCompany,phone,marketSegment,address1,state,city,county,zipCode,addressType,agencyCode,producerCode,accountNumberPerson,accountNumberCompany,Comment,primaryEmail
Automation_VA,Automation_VA,Test,12/30/1995,Married,Home Phone,Phone,123-123-2222,Mid-Market,2705 Atlantic Ave,Virginia,Virginia Beach,VA,23451,Business,1657,01657-002 Steven Cork,4000005759,4001413124,NA,automation.test@VA.com
Automation_WV,Automation_WV,Test,12/30/1995,Single,Home Phone,Phone,123-123-2222,Mid-Market,190 US Rt 60 East,West Virginia,Barboursville,WV,25705,Business,1657,01657-002 Steven Cork,4001413073,4001413441,NA,automation.test@WV.com
Automation_VT,Automation_VT,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,37 ACADEMY LN,Vermont,MC INDOE FALLS,Caledonia County,05050-9801,Business,1657,01657-002 Steven Cork,4000005759,4001413178,NA,automation.test@VT.com
Automation_ME,Automation_ME,Test,4/9/1988,Married,Home Phone,Phone,608-543-1256,Mid-Market,706 FULLER RD,Maine,HERMON,Penobscot County,04401-0136,Business,1657,01657-002 Steven Cork,4000005759,4001413346,NA,automation.test@PC.com
Automation_TN,Automation_TN,Test,4/9/1988,Married,Home Phone,Phone,608-543-1256,Mid-Market,623 Union Street,Tennessee,Nashville,TN,37219-1706,Business,1657,01657-002 Steven Cork,4001412987,4001413345,NA,automation.test@TN.com
Automation_MI,Automation_MI,Test,4/9/1988,Married,Home Phone,Phone,608-543-1256,Mid-Market,555 E LAFAYETTE BLVD,Michigan,DETROIT,MI,48226-2924,Business,1657,01657-002 Steven Cork,4000005759,4001413107,NA,automation.test@MI.com
Automation_WV,Automation_WV,Test,8/8/1989,Divorced,Home Phone,Phone,774-329-3827,Mid-Market,190 US Rt 60 East,West Virginia,Barboursville,CC,25705,Business,1657,01657-002 Steven Cork,4000005759,4000008046,NA,automation.test@CC.com
Automation_NH,Automation_NH,Test,8/8/1989,Divorced,Home Phone,Phone,774-329-3827,Mid-Market,22 South Mountain Drive,New Hampshire,GRAFTON,CC,03251-4268,Business,1657,01657-002 Steven Cork,4000005759,4001413147,NA,automation.test@CC.com
Automation_NE,Automation_NE,Test,8/8/1989,Divorced,Home Phone,Phone,774-329-3827,Mid-Market,1700 Vine Street,Nebraska,LINCOLN,CC,68588,Business,1657,01657-002 Steven Cork,4000005759,4001413096,Nebraska,automation.test@CC.com
Automation_ME,Automation_ME,Test,4/9/1988,Married,Home Phone,Phone,608-543-1256,Small Business,706 FULLER RD,Maine2,HERMON,Penobscot County,04401-0136,Business,1657,01657-002 Steven Cork,4000005759,4001413172,NA,automation.test@MA.com
Automation_NC,Automation_NC,Test,4/9/1988,Married,Home Phone,Email,201-555-0123,Small Business,127 North Tryon Street,North Carolina,Charlotte,North Carolina,28202,Billing,1657,01657-002 Steven Cork,4000005759,4001413269,NA,automation.test@NC.com
Automation_GA,Automation_GA,Test,4/10/1988,Married,Home Phone,Phone,201-555-1234,Small Business,53 14th Street,Georgia,Atlanta,Atlanta,30309,Billing,1657,01657-002 Steven Cork,4000005759,4001413166,NA,automation.test@GA.com
Automation_OH,Karen,Looney,8/31/1951,Single,Home Phone,Phone,201-555-1234,Small Business,2017 East 9th Street,Ohio2,Cleveland,CC,44115,Business,1657,01657-002 Steven Cork,4001413034,4000009045,NA,automation.test@OH.com
Automation_IN,Automation_IN,Test,4/9/1988,Married,Home Phone,Phone,988-765-4343,Small Business,709 Front St,Indiana3,Clay City,Clay,47841,Business,1657,01657-002 Steven Cork,4000013404,4001036936,NA,automation.test@IN.com
Automation_IL,Automation_IL,Test,7/7/1987,Married,Home Phone,Phone,201-555-1234,Small Business,1215 3rd Ave,Illinois2,Rock Island,Rock Island,61201,Business,1657,01657-002 Steven Cork,4001037310,4001411490,NA,automation.test@IN.com
Automation_WI,Automation_WI,Test,4/9/1988,Married,Home Phone,Phone,608-543-1256,Small Business,101 East Hiawatha Drive,Wisconsin,Wisconsin Dells,Penobscot County,53965-9756,Business,1657,01657-002 Steven Cork,4001413005,4001412862,NA,automation.test@IN.com
Automation_VT,Automation_VT,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,360 Stoney Hill Road,Vermont2,Guilford Windham,Windham,05340,Business,1657,01657-002 Steven Cork,4000013404,4001037126,NA,automation.test@VT.com
Automation_SC,Automation_SC,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,387 King Street,South Carolina,Charleston,Charleston,29403-6404,Business,1657,01657-002 Steven Cork,4000013404,4001412732,NA,automation.test@SC.com
Automation_WI,Automation_WI,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Small Business,101 East Hiawatha Drive,Wisconsin3,Wisconsin Dells,Wisconsin Dells,53965-9756,Business,1657,01657-002 Steven Cork,4000013404,4001036644,NA,automation.test@WI.com
Automation_RI,Automation_RI,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,21 Atwells Avenue,Rhode Island,Providence,Charleston,02903-1027,Business,1657,01657-002 Steven Cork,4000013404,4001413396,NA,automation.test@RI.com
Automation_MD,Automation_MD,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,9100 Coastal Highway,Maryland,Owings Mills,Owings Mills,21117,Business,1657,01657-002 Steven Cork,4000013404,4001045456,NA,automation.test@MD.com
Automation_MD,Automation_MD,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,9100 Coastal Highway,Maryland2,North East,North East,21901,Business,1657,01657-002 Steven Cork,4000013404,4000015821,NA,automation.test@MD.com
Automation_NH,Automation_NH,Test,4/20/1993,Married,Home Phone,Phone,567-345-3903,Mid-Market,2428 Grasselli Street,New Hampshire,Portsmouth,United States,03801,Business,1657,01657-002 Steven Cork,4000013404,4000015701,NA,automation.test@NH.com
Automation_IA,Automation_IA,Test,12/30/1995,Single,Home Phone,Phone,123-123-2222,Mid-Market,1253 1300 SE 1st St,Iowa2,Des Moines,Des Moines,50315,Business,1657,01657-002 Steven Cork,4000007847,4001411484,NA,automation.test@IO.com
Automation_MN,Automation_MN,Test,1/1/2002,Married,Home Phone,Phone,123-123-2222,Mid-Market,615 Washington Ave SE,Minnesota2,Minneapolis,MN,55414-2936,Business,1657,01657-002 Steven Cork,4001328608,4001328606,NA,automation.test@MN.com
Automation_MN,Automation_MN,Test,1/1/2002,Married,Home Phone,Phone,123-123-2222,Mid-Market,202 Dillon Ave,Minnesota3,Mankato,MN,56001,Business,1657,01657-002 Steven Cork,4001413456,4001328606,NA,automation.test@MN.com
Automation_MA,Automation_MA,Test,6/19/1999,Single,Home Phone,Phone,303-890-3378,Mid-Market,500 Gliniewicz Way,Massachusetts2,Abington,Suffolk County,02351,Business,1657,01657-002 Steven Cork,4000005759,4001337535,NA,automation.test@SC.com
Automation_WI,Automation_WI,Test,4/9/1988,Married,Home Phone,Phone,608-543-1256,Small Business,351 S Washburn St,Wisconsin4,Oshkosh,Oshkosh,54904,Business,1657,01657-002 Steven Cork,4001411502,4001037322,NA,automation.test@IN.com
Automation_KY,Automation_KY,Test,7/20/1992,Married,Home Phone,Phone,412-432-2345,Mid-Market,1031 ZORN AVE,Kentucky2,LOUISVILLE,Jefferson,40207-1000,Business,6478,06478-002 Alex Carlucci,4001412809,4001336197,NA,automation.test@KY.com
